Date,BTC-USD,ETC-USD,LTC-USD,XMR-USD,NEO-USD,XRP-USD,ZEC-USD
2018-11-30,4289.0888671875,4.913969993591309,33.79917526245117,61.33008575439453,8.480646133422852,0.3805379867553711,88.03636169433594
2018-12-01,4024.46435546875,4.610381126403809,32.13059616088867,57.9195556640625,7.726199150085449,0.36255699396133423,80.66336822509766
2018-12-02,4200.7333984375,4.843669891357422,34.26240921020508,59.6011848449707,8.170476913452148,0.37216201424598694,80.30884552001953
2018-12-03,4147.32373046875,5.171237945556641,33.8102912902832,59.40363693237305,8.002654075622559,0.36859801411628723,79.4050064086914
2018-12-04,3886.294921875,4.506569862365723,31.005577087402344,54.5374755859375,7.343612194061279,0.3485339879989624,70.74446868896484
2018-12-05,3958.894775390625,4.433094024658203,31.215850830078125,57.00458526611328,7.621943950653076,0.3523530066013336,74.69587707519531
2018-12-06,3754.074462890625,4.0351128578186035,29.248985290527344,51.60868835449219,6.989789962768555,0.33708301186561584,66.10662841796875
2018-12-07,3512.59033203125,3.5242059230804443,26.90794563293457,46.50374221801758,6.063142776489258,0.3108370006084442,58.25437927246094
2018-12-08,3421.910400390625,3.8318839073181152,25.128456115722656,46.60301971435547,6.063018798828125,0.30243998765945435,59.24666213989258
2018-12-09,3473.2275390625,3.8489999771118164,24.8035945892334,45.55420684814453,6.044335842132568,0.3064509928226471,57.37568664550781
2018-12-10,3612.04638671875,3.9825339317321777,25.911685943603516,47.509979248046875,6.404308795928955,0.3134849965572357,60.872188568115234
2018-12-11,3497.5546875,3.9022810459136963,24.60049057006836,44.61642074584961,6.123544216156006,0.30309998989105225,56.815818786621094
2018-12-12,3421.458251953125,3.7289910316467285,23.795936584472656,42.66377258300781,5.836277961730957,0.3006710112094879,54.385982513427734
2018-12-13,3487.87939453125,3.9093708992004395,24.530656814575195,44.0509147644043,6.051543235778809,0.3076600134372711,55.58842086791992
2018-12-14,3311.751953125,3.862946033477783,23.646480560302734,41.033260345458984,5.73818302154541,0.2999719977378845,51.83214569091797
2018-12-15,3243.99755859375,3.732470989227295,23.462881088256836,39.016075134277344,5.654226779937744,0.2886990010738373,49.2982063293457
2018-12-16,3236.274658203125,3.6308040618896484,23.787988662719727,38.87267303466797,5.647751808166504,0.2859109938144684,50.10699462890625
2018-12-17,3253.123046875,3.6302850246429443,25.682781219482422,39.36017990112305,5.717079162597656,0.2881009876728058,51.47489929199219
2018-12-18,3544.761474609375,4.001588821411133,29.26650619506836,43.853389739990234,6.5473761558532715,0.32902199029922485,56.50918960571289
2018-12-19,3706.824951171875,4.233006954193115,30.32775115966797,46.98530197143555,6.826210975646973,0.35506001114845276,58.696617126464844
2018-12-20,3742.195068359375,4.4226298332214355,29.604042053222656,46.158607482910156,6.692010879516602,0.3473609983921051,57.609092712402344
2018-12-21,4133.70361328125,4.786013126373291,32.732635498046875,54.87809371948242,7.262025833129883,0.3767560124397278,66.11078643798828
2018-12-22,3898.083740234375,4.541004180908203,30.82662010192871,51.79388427734375,6.930343151092529,0.3588849902153015,61.90662384033203
2018-12-23,4020.99462890625,4.705074787139893,31.99216651916504,51.91259765625,7.109964847564697,0.36304500699043274,63.469905853271484
2018-12-24,4000.331787109375,4.942611217498779,33.47358322143555,52.796470642089844,7.694382190704346,0.3723979890346527,65.24516296386719
2018-12-25,4081.030517578125,5.14896297454834,33.40159606933594,56.40398406982422,8.49373722076416,0.4084390103816986,68.3744888305664
2018-12-26,3819.666748046875,4.739344120025635,31.093463897705078,50.639732360839844,7.69931697845459,0.37999099493026733,61.470279693603516
2018-12-27,3854.6884765625,5.523684024810791,30.962173461914062,49.357025146484375,7.871632099151611,0.37910598516464233,61.07162094116211
2018-12-28,3653.1318359375,4.814877986907959,28.30059814453125,44.48060607910156,6.981441974639893,0.3418070077896118,56.25209045410156
2018-12-29,3932.49169921875,5.317892074584961,32.55842590332031,49.842838287353516,8.019445419311523,0.3783459961414337,63.071876525878906
2018-12-30,3822.384765625,5.202067852020264,31.423141479492188,48.006370544433594,7.96713399887085,0.3652479946613312,60.340667724609375
2018-12-31,3866.839111328125,5.321897029876709,31.97723388671875,48.43517303466797,8.124651908874512,0.37105101346969604,59.76937484741211
2019-01-01,3746.71337890625,5.049647808074951,30.458393096923828,46.22795867919922,7.554195880889893,0.352512001991272,56.43060302734375
2019-01-02,3849.21630859375,5.3194990158081055,32.0212287902832,48.43928146362305,7.891458988189697,0.3656750023365021,60.01542282104492
2019-01-03,3931.048583984375,5.433833122253418,33.353572845458984,52.33226013183594,8.07140064239502,0.37450501322746277,61.34834289550781
2019-01-04,3832.0400390625,5.088991165161133,32.01652526855469,49.85271072387695,7.670473098754883,0.3597530126571655,58.344661712646484
